,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,2751.2467341309807,2796.1790506230377,2602.1046858244235,2678.9308893694174,2731.611419128669,3114.454610597361,2886.5960626079773
1,2771.320170794065,2603.710010299079,2689.8046716871136,2738.528071244329,3132.4082014233913,2897.765068771591,2862.398153841998
2,2643.5280251275435,2746.6993979477807,2756.597054852339,3214.8881549994635,2925.951027880907,2950.1156604247667,3144.360585479616
3,2761.8811562777787,2777.812661894135,3299.380384416471,3003.8615958812566,2939.861117898567,3173.194211485603,3471.937511325255
4,2766.6931816285833,3245.588178016465,2927.327352289451,2868.341146741361,3106.731802817654,3419.8380163397183,3900.3246203100834
5,3206.7297499745605,2911.20237961898,2858.2282637613202,3122.3272813317253,3420.908550902522,3900.0750053097245,3178.16097340991
6,2898.5966591875,2697.2418034508996,3101.750163280505,3392.797784333539,3870.4919328124015,3178.273935761348,2332.6870453805773
7,2748.2938466027176,3114.349142269609,3378.1431945454874,3859.1272152469146,3170.6718645546152,2360.380618225518,2876.1420130646306
8,3128.472647615421,3435.242510964655,3892.958688359563,3209.697365270091,2381.6424603706805,2936.123834204845,3586.652046245363
9,3462.6131989868886,3934.523293948342,3258.2137765283233,2429.8741112594475,3027.3043985563277,3677.2802162376106,2369.4702138224293
10,3920.952628157477,3215.1680551896516,2400.718950110932,2988.586661513594,3590.9592952508942,2362.9687990392968,2578.3639233385484
11,3190.7306877167402,2321.868735759396,2858.381796468548,3532.096556456428,2291.063046418274,2528.571628426279,2153.8293181952017
12,2300.54691289269,2820.826483655915,3436.1891398236435,2240.6831469390963,2489.6707801603816,2097.3319531115953,2426.0850116262195
13,2797.6591254529326,3455.0994153718852,2254.3720248931786,2499.1852427361227,2139.556749223951,2440.374067426657,2575.235215393881
14,3462.9904770839153,2342.685906309128,2536.0649076905065,2084.070342342596,2470.2134976787743,2562.200590250678,2694.244235753492
15,2371.278474432913,2691.816058784102,2246.929913843321,2674.6231825089867,2855.2193871363615,2940.407170175218,2513.747942103028
16,2701.596832724481,2263.480168862317,2689.638901778812,2869.963575816286,2932.603268861939,2552.3952965320773,2526.8587339641863
17,2241.243102882149,2590.018396909663,2813.4388489758703,2910.822156833884,2496.008681225971,2470.4323478374617,1924.2754938604803
18,2562.285661078698,2628.642214127737,2817.2254383013496,2409.169851826829,2395.5471264037515,1837.6309086132678,2642.3576867843226
19,2604.825937179545,2653.3534442588298,2247.6021907216696,2206.196493342065,1762.5713688455592,2458.011928954013,2034.8513225491415
20,2641.6383991728517,2265.54704634603,2157.442438817353,1738.9016700947052,2405.4500426302625,2025.2041501641042,2537.6719471771767
21,2256.9577872659524,2099.028310779464,1768.4180877509323,2467.109907479154,2079.1397458987376,2576.421616425353,2106.6038395076794
22,2087.128349487925,1737.4269976415537,2341.9851999771604,2011.558978598538,2524.8111282463133,2085.3909852108072,2695.698294620497
23,1733.3224307143857,2238.7446840136795,2032.3656570191647,2552.17307409731,2051.643140852765,2808.120443285845,2336.4548957990783
24,2233.5379075747737,1949.978823474954,2465.8648217242644,1945.518167340656,2693.147951632992,2250.3519528191564,2583.6583728711557
25,1941.6161853694248,2509.2070956378957,1922.1899369835428,2712.777345511723,2233.632375127456,2601.583887387007,2486.616642958628
26,2500.846136836267,1948.429263430954,2722.012444125212,2278.591719148184,2606.08655714366,2524.8949379574756,2245.606485284914
27,1942.0726273811406,2639.375003876332,2242.709598615149,2599.9827764529327,2509.970508277946,2239.0837961381476,2443.656344023387
28,2634.5793860725516,2192.430254394385,2377.4325251634355,2589.6819085552356,2075.3708485468997,2516.0280315706536,2252.45977275205
29,2179.979211569347,2387.388101437732,2487.439581794874,2121.5897306270085,2414.045091561563,2296.827562279383,2463.949672390225
30,2366.204646333221,2440.739091437769,2095.6093744326754,2398.908177276301,2275.8920687445607,2453.3428523010602,3050.3842354625403
31,2416.6074190949853,2103.801731208207,2378.014835109883,2250.008419420493,2424.0469538510847,3046.7755955516886,1612.917614103484
32,2104.115291959631,2377.5012810464773,2272.337361664561,2442.621707656498,3060.365920270532,1643.729117880167,2249.753448632481
33,2382.8587392776517,2270.228190714837,2424.1693389384573,3043.95670535086,1627.8723564960173,2256.14677733177,2403.8969553602533
34,2273.572386223069,2434.606745236371,3086.059250076936,1680.4827840745756,2315.283282601872,2469.096970567253,2407.1788656202566
35,2444.6100041381555,3164.5755373080474,1645.7256173600463,2317.727523060801,2474.7842422417784,2418.6613147825924,2807.6537435434047
36,3224.3551566990973,1929.7352098351776,2417.552729579259,2605.188698013342,2549.721262394154,2950.3415818760504,3141.4160383504595
37,2097.9506183771077,2753.90411633578,2808.374940501983,2753.657907752823,3148.663223106331,3365.6175378445937,3151.7616257544114
38,2675.3140521688683,2936.1321678551462,2788.550486775776,3064.7640132816377,3320.3424371219585,2997.0453173558444,2606.0156322264493
39,2910.2798153377075,2832.981465846782,3128.848727611655,3374.126052258053,3137.206298155501,2578.1202525086574,3174.43743269223
40,2849.0598707280064,2940.986221242395,3471.3355796818255,2982.0378607345274,2629.6012943661126,3103.9828664288934,2689.3292790675887
